Time,Row,Col,Detected_radius,R_median,G_median,B_median,A_star_median,A_star_reference_mean,A_star_reference_std,A_star_mean_all,A_star_std_dev_all,A_star_scale_factor,A_star_offset,A_star_median_normalized
20,0,0,28,113.0,122.0,179.0,139.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,139.0
20,0,1,28,111.0,113.0,179.0,144.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
20,0,2,26,110.0,116.0,181.0,142.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
20,0,3,30,114.0,120.0,186.0,142.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
20,0,4,27,114.0,120.0,189.0,143.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
20,0,5,26,118.0,123.0,191.0,143.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
20,0,6,27,117.0,125.0,192.0,142.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
20,0,7,27,118.0,126.0,194.0,142.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
20,0,8,29,124.0,135.0,198.0,140.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
20,0,9,28,131.0,145.0,201.0,136.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,136.0
20,1,0,30,112.0,118.0,182.0,142.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
20,1,1,27,103.0,105.0,174.0,145.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,145.0
20,1,2,23,104.0,106.0,180.0,147.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,147.0
20,1,3,29,110.0,112.0,182.0,145.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,145.0
20,1,4,26,108.0,111.0,185.0,146.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,146.0
20,1,5,28,110.0,114.0,187.0,145.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,145.0
20,1,6,26,110.0,115.0,187.0,144.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
20,1,7,28,112.0,119.0,196.0,145.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,145.0
20,1,8,29,120.0,131.0,195.0,140.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
20,1,9,27,127.0,139.0,201.0,139.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,139.0
20,2,0,28,114.0,121.0,180.0,140.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
20,2,1,28,113.0,112.0,180.0,145.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,145.0
20,2,2,28,114.0,116.0,176.0,142.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
20,2,3,29,115.0,118.0,185.0,143.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
20,2,4,28,114.0,119.0,189.0,144.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
20,2,5,29,116.0,120.0,189.0,144.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
20,2,6,28,115.0,120.0,190.0,144.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
20,2,7,29,117.0,124.0,194.0,143.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
20,2,8,28,119.0,129.0,197.0,141.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
20,2,9,29,130.0,143.0,203.0,138.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,138.0
20,3,0,29,147.0,124.0,195.0,152.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,152.0
20,3,1,27,140.0,118.0,195.0,153.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,153.0
20,3,2,26,140.0,119.0,196.0,153.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,153.0
20,3,3,28,121.0,131.0,205.0,143.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
20,3,4,27,119.0,130.0,207.0,144.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
20,3,5,28,131.0,145.0,210.0,139.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,139.0
20,4,0,28,164.0,135.0,203.0,153.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,153.0
20,4,1,26,149.0,115.0,197.0,158.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,158.0
20,4,2,27,146.0,118.0,198.0,156.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,156.0
20,4,3,29,123.0,132.0,206.0,143.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
20,4,4,25,120.0,132.0,211.0,144.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
20,4,5,24,122.0,136.0,216.0,143.0,142.66666666666666,1.699673171197595,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
30,0,0,27,96.0,104.0,156.0,139.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,139.0
30,0,1,28,95.0,97.0,156.0,142.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
30,0,2,28,95.0,98.0,154.0,141.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
30,0,3,27,91.0,95.0,152.0,142.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
30,0,4,28,92.0,95.0,153.0,142.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
30,0,5,29,94.0,97.0,150.0,140.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
30,0,6,28,90.0,93.0,147.0,141.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
30,0,7,29,90.0,92.0,146.0,141.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
30,0,8,28,92.0,96.0,148.0,140.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
30,0,9,28,100.0,106.0,152.0,137.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,137.0
30,1,0,32,98.0,104.0,158.0,140.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
30,1,1,29,89.0,91.0,151.0,143.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
30,1,2,28,88.0,90.0,151.0,143.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
30,1,3,29,90.0,91.0,150.0,143.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
30,1,4,28,87.0,88.0,149.0,144.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
30,1,5,28,84.0,85.0,144.0,143.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
30,1,6,27,82.0,82.0,140.0,144.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
30,1,7,27,81.0,83.0,144.0,144.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
30,1,8,28,89.0,93.0,146.0,140.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
30,1,9,28,96.0,101.0,151.0,139.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,139.0
30,2,0,28,95.0,99.0,154.0,140.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
30,2,1,27,92.0,92.0,150.0,143.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
30,2,2,29,95.0,94.0,146.0,141.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
30,2,3,29,93.0,94.0,151.0,142.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
30,2,4,27,91.0,92.0,151.0,143.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
30,2,5,28,88.0,89.0,145.0,142.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
30,2,6,28,85.0,85.0,141.0,143.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
30,2,7,27,86.0,87.0,144.0,143.0,141.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
