Time,Row,Col,Detected_radius,R_median,G_median,B_median,A_star_median
50,2,7,30,98.0,94.0,157.0,145.0
50,2,8,30,99.0,98.0,157.0,143.0
50,2,9,31,107.0,108.0,161.0,140.0
50,2,10,56,184.0,184.0,194.0,130.0
50,3,0,42,129.0,129.0,180.0,140.0
50,3,1,31,103.0,103.0,173.0,146.0
50,3,2,29,111.0,116.0,177.0,141.0
50,4,0,31,115.0,116.0,187.0,145.0
50,4,1,43,147.0,149.0,198.0,138.0
50,4,2,32,126.0,132.0,191.0,140.0
50,4,3,40,204.0,203.0,206.0,129.0
60,0,0,35,136.0,142.0,183.0,135.0
60,0,1,29,120.0,125.0,179.0,139.0
60,0,2,26,111.0,121.0,182.0,140.0
60,0,3,26,111.0,121.0,181.0,139.0
60,0,4,29,120.0,129.0,184.0,138.0
60,0,5,26,116.0,125.0,181.0,138.0
60,0,6,26,114.0,124.0,180.0,138.0
60,0,7,36,120.0,127.0,178.0,138.0
60,0,8,29,123.0,132.0,182.0,137.0
60,0,9,26,126.0,136.0,183.0,136.0
60,1,0,32,118.0,129.0,177.0,135.0
60,1,1,27,105.0,111.0,169.0,141.0
60,1,2,29,107.0,114.0,173.0,140.0
60,1,3,23,103.0,109.0,172.0,142.0
60,1,4,29,107.0,115.0,174.0,140.0
60,1,5,26,104.0,111.0,171.0,141.0
60,1,6,26,101.0,107.0,168.0,141.0
60,1,7,29,107.0,114.0,174.0,141.0
60,1,8,56,123.0,131.0,175.0,136.0
60,1,9,40,127.0,134.0,174.0,135.0
60,2,0,29,111.0,121.0,175.0,138.0
60,2,1,27,107.0,111.0,168.0,141.0
60,2,2,27,106.0,110.0,161.0,139.0
60,2,3,29,109.0,117.0,175.0,140.0
60,2,4,41,122.0,127.0,175.0,137.0
60,2,5,29,108.0,115.0,174.0,140.0
60,2,6,27,104.0,110.0,168.0,141.0
60,2,7,26,103.0,108.0,170.0,142.0
60,2,8,30,110.0,117.0,173.0,139.0
60,2,9,27,111.0,118.0,171.0,138.0
60,3,0,27,190.0,191.0,198.0,129.0
60,3,1,30,183.0,185.0,193.0,129.0
60,3,2,30,182.0,185.0,191.0,128.0
60,3,3,32,178.0,182.0,191.0,128.0
60,4,0,27,112.0,123.0,184.0,139.0
60,4,1,28,112.0,123.0,183.0,139.0
60,4,2,32,129.0,140.0,185.0,135.0
60,5,0,26,105.0,115.0,178.0,141.0
60,5,1,51,140.0,146.0,180.0,133.0
60,5,2,29,110.0,123.0,178.0,137.0
70,0,0,33,147.0,133.0,180.0,143.0
70,0,1,30,140.0,118.0,173.0,148.0
70,0,2,27,126.0,122.0,179.0,143.0
70,0,3,38,152.0,148.0,183.0,137.0
70,0,4,30,131.0,127.0,179.0,141.0
70,0,5,38,151.0,145.0,181.0,138.0
70,0,6,36,160.0,140.0,175.0,142.0
70,0,7,29,203.0,104.0,158.0,174.0
70,0,8,26,213.0,126.0,161.0,166.0
70,1,0,46,131.0,125.0,173.0,141.0
70,1,1,41,151.0,112.0,168.0,154.0
70,1,2,31,119.0,111.0,173.0,146.0
70,1,3,39,125.0,119.0,175.0,143.0
70,1,4,41,124.0,119.0,175.0,143.0
70,1,5,42,124.0,114.0,169.0,144.0
70,1,6,28,126.0,96.0,159.0,153.0
70,1,7,29,163.0,88.0,152.0,168.0
70,1,8,38,206.0,113.0,154.0,170.0
70,1,9,39,206.0,117.0,155.0,167.0
70,2,0,32,124.0,122.0,174.0,141.0
70,2,1,28,123.0,107.0,168.0,148.0
70,2,2,35,124.0,114.0,166.0,143.0
70,2,3,53,129.0,122.0,171.0,142.0
70,2,4,41,135.0,113.0,170.0,149.0
70,2,5,41,128.0,116.0,170.0,145.0
70,2,6,29,124.0,97.0,158.0,152.0
70,2,7,35,191.0,101.0,155.0,171.0
70,2,8,40,200.0,111.0,155.0,169.0
70,3,0,37,180.0,175.0,182.0,131.0
70,4,0,29,120.0,116.0,174.0,143.0
70,4,1,42,147.0,141.0,177.0,138.0
70,4,2,32,130.0,126.0,174.0,140.0
70,5,0,31,194.0,190.0,187.0,129.0
70,5,1,33,113.0,112.0,171.0,143.0
70,5,2,55,134.0,133.0,171.0,137.0
70,5,3,48,135.0,134.0,170.0,136.0
